zip_code
47553
46773
47344
47240
47240
20785
20678
21065
21065
21005
19709
19963
19902
19898
19886
96861
96854
96703
96849
96849
52535
50229
50312
50313
51062
66111
67663
67467
66830
66930
71328
71069
70420
71316
70710
31632
30567
31007
31008
30101
72069
72556
72640
71945
72076
83837
83855
83316
83731
83311
59901
59257
59073
59430
59071
27252
28790
28315
28685
28456
6504
6076
6514
6517
6538
3911
4001
4096
4497
4579
1264
1586
2562
2562
1970
42064
41362
42701
42702
42501
48951
48341
48237
48238
49357
64064
63670
64720
63730
63123
85253
86054
85336
86505
85920
99747
99649
99573
99574
99552
20405
20433
20575
20049
20373
33408
33890
32616
32816
32820
55592
55572
56447
56029
55701
36745
36470
36255
35053
35005
95547
95595
92277
92278
90848
81212
80759
80279
80280
80263
60092
60099
60064
61410
61411
38751
38625
38756
38915
39735
